Date,Open,High,Low,Close,Adj Close,Volume
12/19/2014,157.490005,160.410004,157.490005,158.509995,124.737526,8864900
12/22/2014,158.330002,161.910004,158.330002,161.440002,127.043297,4682500
12/23/2014,162.229996,162.899994,161.610001,162.240005,127.672859,4043300
12/24/2014,162.880005,162.990005,161.610001,161.820007,127.342293,1868100
12/26/2014,162.270004,163.089996,162.009995,162.339996,127.751511,1912200
12/29/2014,162,162.339996,159.449997,160.509995,126.31144,3331800
12/30/2014,160.020004,160.820007,159.789993,160.050003,125.94944,2829900
12/31/2014,160.410004,161.5,160.380005,160.440002,126.256348,4011900
1/2/2015,161.309998,163.309998,161,162.059998,127.531136,5525500
1/5/2015,161.270004,161.270004,159.190002,159.509995,125.52449,4880400
1/6/2015,159.669998,159.960007,155.169998,156.070007,122.817429,6146700
1/7/2015,157.199997,157.199997,154.029999,155.050003,122.014748,4701800
1/8/2015,156.240005,159.039993,155.550003,158.419998,124.666725,4236800
1/9/2015,158.419998,160.339996,157.25,159.110001,125.209694,4488300
1/12/2015,159,159.25,155.759995,156.440002,123.10862,4187600
1/13/2015,157.259995,159.970001,155.679993,156.809998,123.399734,4377500
1/14/2015,154.860001,156.490005,153.740005,155.800003,122.60495,4690300
1/15/2015,156.690002,156.970001,154.160004,154.570007,121.637016,4248400
1/16/2015,153.820007,157.630005,153.820007,157.139999,123.659409,5756000
1/20/2015,156.699997,157.330002,154.029999,156.949997,123.509895,8392800
1/21/2015,153.029999,154.5,151.070007,152.089996,119.685394,11897100
1/22/2015,151.940002,155.720001,151.759995,155.389999,122.282295,6120100
1/23/2015,155.029999,157.600006,154.889999,155.869995,122.660011,4834800
1/26/2015,158.259995,159.460007,155.770004,156.360001,123.045624,7888100
1/27/2015,154.940002,155.089996,152.589996,153.669998,120.928764,5659600
1/28/2015,154,154.529999,151.550003,151.550003,119.260475,4495900
1/29/2015,151.380005,155.580002,149.520004,155.479996,122.353134,8320800
1/30/2015,153.910004,155.240005,153.039993,153.309998,120.645462,6563600
2/2/2015,154,154.660004,151.509995,154.660004,121.707848,4712200
2/3/2015,154.75,158.600006,154.75,158.470001,124.706039,5539400
2/4/2015,157.210007,158.710007,156.699997,156.960007,123.517769,3678500
2/5/2015,157.289993,158.589996,157.149994,157.910004,124.265396,5253600
2/6/2015,157.339996,158.080002,156.229996,156.720001,124.194046,3256500
2/9/2015,156,157.5,155.399994,155.75,123.425354,3057700
2/10/2015,156.740005,158.559998,155.080002,158.559998,125.652184,4440600
2/11/2015,157.759995,159.089996,157.169998,158.199997,125.366882,3626700
2/12/2015,158.720001,159.5,158.089996,158.520004,125.620453,3333100
